#tid	superkingdom	kingdom	phylum	class	order	family	genus	species	OULU-49	OULU-296	OULU-341	OULU-372	OULU-479	OULU-560	OULU-638	OULU-644	OULU-685	OULU-785	OULU-13	OULU-74	OULU-169	OULU-301	OULU-331	OULU-360	OULU-393	OULU-402	OULU-444	OULU-461	OULU-488	OULU-494	OULU-545	OULU-794	OULU-29	OULU-102	OULU-228	OULU-232	OULU-255	OULU-314	OULU-335	OULU-386	OULU-390	OULU-481	OULU-486	OULU-500	OULU-516	OULU-648	OULU-701	OULU-68	OULU-226	OULU-277	OULU-308	OULU-342	OULU-408	OULU-497	OULU-574	OULU-583	OULU-647	OULU-115	OULU-139	OULU-152	OULU-171	OULU-183	OULU-661	OULU-703	OULU-709	OULU-722	OULU-833	OULU-835	OULU-847	OULU-848	OULU-869	OULU-870	OULU-878	OULU-884	OULU-888	OULU-895
106588	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	NA	Pseudoflavonifractor	Pseudoflavonifractor capillosus	0	0	0	0	0	0	0	0	0	0	0.00201251959971849	0.00192992277608878	0.000395491898361112	0.0015324174475488	0.000575703799645078	0.000433451638447193	0.000919823716087813	0.000505683064439371	0.00057277324189655	0.000930574978576135	0.000885684260141291	0.00190517335526522	0.0022177037941176	0.00229029882625635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00155828280908469	0.000848425684452085	0.000615793399179564	0.00161780842878191	0.00044827236239535	0.00111947544065064	0.0016485414408776	0.00190785077935691	0.00295605956911435	0.000493722927776962	0.00110267734383111	0.000282082095869973	0.00026972431558905	0	0.000236041234495656	0	0.000103811975541895	0	0	0.00185997621373689	0.000278055327540076	0.000120380512820985	0.000480538058623244	0.000392542178609092	0.000112660644418886	0.000699974766828161	0.000605277783872301	0.000579975503967533	0.000167790897681303
10678	Viruses	NA	dsDNA viruses, no RNA stage	NA	Caudovirales	Myoviridae	P1virus	Escherichia virus P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000147680835873531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10679	Viruses	NA	dsDNA viruses, no RNA stage	NA	Caudovirales	Myoviridae	P2virus	Escherichia virus P2	0	0	0	0	0	0	0	0.000223100919175787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000412251265611385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000187462410766602	0	0
10680	Viruses	NA	dsDNA viruses, no RNA stage	NA	Caudovirales	Myoviridae	P2virus	Enterobacteria phage P4	0	0	0	0	0	0	0	0.000630802598906708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000485263988869988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10713	Viruses	NA	dsDNA viruses, no RNA stage	NA	Caudovirales	Siphoviridae	Lambdavirus	Enterobacteria phage phi80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000331992191148462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1074044	Viruses	NA	ssDNA viruses	NA	NA	Inoviridae	NA	uncultured phage WW-nAnB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00011088057768781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10761	Viruses	NA	dsDNA viruses, no RNA stage	NA	Caudovirales	Podoviridae	P22virus	Shigella phage Sf6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000193041115777649	0	0	0	0	0	0	0	0	0.000100980700806064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1076550	Bacteria	NA	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea rwandensis	0.000121840292416702	0.000662461464039835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1078480	Bacteria	NA	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus sputorum	0	0	0	0	0	0	0.00267877179702123	0	0	0	0	0	0	0	0	0	0	0	0.000238621350596845	0	0	0	0	0	0.00200199536534758	0	0	0	0	0	0	0	0.0119572881124202	0	0	0	0	0	0	0	0	0	0	0.00068483360907312	0	0	0	0	0.000109260647915642	0	0	0.000288444615113842	0	0	0	0	0	0.000137361017845142	0.00282755505249688	0	0.000104200443893891	0	0	0	0	0.00876755275072837	0	0
1089444	Bacteria	NA	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Dickeya	Dickeya solani	0.000159490382776919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1090133	Viruses	NA	dsDNA viruses, no RNA stage	NA	Caudovirales	Podoviridae	NA	Enterobacteria phage IME10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000191831108783809	0	0	0	0	0	0	0	0	0.000128630892698395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1099853	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Coprobacter	Coprobacter fastidiosus	0	0	0	0	0	0	0	0	0	0	0	0.000465803083616414	0	0.00198416964306447	0	0.0139871728715135	0	0	0.000447502532864336	0	0.000543162612612166	0	0	0	0	0	0	0	0.000249511010519593	0.000164820463145502	0	0	0	0	0	0.000258140823469227	0	0.000153550629557581	0	0.000870367154418008	0	0	0	0	0.000189610921509078	0	0	0.000137180908137612	0	0	0.000236991760848783	0	0	0	0.000133500476596702	0	0.000616322835085042	0.000245751821020994	0	0	0	0	0.000270961503836346	0	0.00461123140248585	0	0	0.000186530997940839
1109412	Bacteria	NA	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Brenneria	Brenneria goodwinii	0.000500311200746882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1118061	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes obesi	0	0	0	0	0	0	0	0	0	0	0.00499463382440334	0.000660914375253165	0.000177170850420082	0.00916144452462039	0	0.00617351333588041	0.00533576155647669	0	0.000256651452647222	0.000151760811920344	0.00174555839613588	0.00210814477809489	0.00173602079804937	0.00322006646894637	0.000183560491942118	0	0.00044634127653605	0	0	0.000220200618763739	0	0	0	0.00041189108739247	0	0	0	0.00275641130128634	0	0.000454873739062135	0.00163928098318259	0.00055724307598178	0.00101569529177247	0.0028119748191073	0.000954654639621548	0.00722873016738736	0.000721054073955519	0.00199213318792171	0	0.00623746154149386	0.00415131084423958	0	0	0	0.000297031060400886	0	0	0	0.000337936579625207	0	0	0.00116589955213549	0	0.000124540712372875	0.00771660255006336	0	0.00445791230558778	0.021467724852328
1121358	Bacteria	NA	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium doosanense	0	0	0	0.000150000432001244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1124654	Viruses	NA	dsDNA viruses, no RNA stage	NA	Caudovirales	Podoviridae	Epsilon15virus	Escherichia phage TL-2011b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000551111691912894	0	0	0	0	0	0	0	0	0.000448072589859569	0	0	0	0	0	0	0	0	0.000194271348243157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1133319	Bacteria	NA	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides reticulotermitis	0	0	0	0	0	0	0	0	0.00029730103163458	0	0	0	0	0.000129460629178658	0	0.000154790585108412	0.000145340587175972	0	0	0	0.000150220722561675	0	0	0	0	0	0	0	0	0.000475271335512453	0	0.000280800904178911	0	0	0	0	0.000113170654126381	0	0	0	0	0	0	0.00027437144593752	0.000230571120575646	0	0	0	0	0.000114920765372297	0	0	0.000838273788997527	0.000276141444219753	0.000954393407184465	0	0.000898444132843012	0	0	0	0	0	0.000767344258760637	0	0.00117067797231699	0	0	0
1134687	Bacteria	NA	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella michiganensis	0.0832590098216236	0	0	0	0	0	0	0	0	0.00129096568024899	0	0	0	0	0.000779995147967977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000125640515126112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000211154045711516	0	0	0.000796764422042543	0	0	0	0	0
114652	Bacteria	NA	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus orisratti	0	0	0	0	0	0	0	0	0	0	0	0.000984966520478366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1147043	Viruses	NA	dsDNA viruses, no RNA stage	NA	Caudovirales	Siphoviridae	NA	Staphylococcus phage StB20	0	0	0	0	0.000230450670611451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00130852635943811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1147044	Viruses	NA	dsDNA viruses, no RNA stage	NA	Caudovirales	Siphoviridae	NA	Staphylococcus phage StB27	0	0	0	0	0.000768902237505511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1147143	Viruses	NA	dsDNA viruses, no RNA stage	NA	Caudovirales	Siphoviridae	Lambdavirus	Enterobacteria phage HK140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000108390715378721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000204611182652636	0	0	0	0	0	0	0	0	0.000136870949884392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1147144	Viruses	NA	dsDNA viruses, no RNA stage	NA	Caudovirales	Siphoviridae	Lambdavirus	Enterobacteria phage HK225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000137750909156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1147145	Viruses	NA	dsDNA viruses, no RNA stage	NA	Caudovirales	Siphoviridae	Lambdavirus	Enterobacteria phage HK446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00012673051959513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1147146	Viruses	NA	dsDNA viruses, no RNA stage	NA	Caudovirales	Siphoviridae	Lambdavirus	Enterobacteria phage HK630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000104320335911482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1147149	Viruses	NA	dsDNA viruses, no RNA stage	NA	Caudovirales	Siphoviridae	Lambdavirus	Enterobacteria phage mEp043 c-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000470913108026513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1147150	Viruses	NA	dsDNA viruses, no RNA stage	NA	Caudovirales	Siphoviridae	Lambdavirus	Enterobacteria phage mEp235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000723964778167536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1147151	Viruses	NA	dsDNA viruses, no RNA stage	NA	Caudovirales	Siphoviridae	Lambdavirus	Enterobacteria phage mEp237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000160591059900995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1147152	Viruses	NA	dsDNA viruses, no RNA stage	NA	Caudovirales	Siphoviridae	Lambdavirus	Enterobacteria phage mEp460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000110900340464045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1147154	Viruses	NA	dsDNA viruses, no RNA stage	NA	Caudovirales	Siphoviridae	Lambdavirus	Enterobacteria phage mEpX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000183861213484009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000278051607138289	0	0	0	0	0	0	0	0	0.000158471099789433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1147156	Viruses	NA	dsDNA viruses, no RNA stage	NA	Caudovirales	Siphoviridae	Lambdavirus	Enterobacterial phage mEp213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000488913226827297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1147157	Viruses	NA	dsDNA viruses, no RNA stage	NA	Caudovirales	Siphoviridae	Lambdavirus	Enterobacterial phage mEp234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000132270872987762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1147158	Viruses	NA	dsDNA viruses, no RNA stage	NA	Caudovirales	Siphoviridae	Lambdavirus	Enterobacterial phage mEp390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00446721948364859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1150298	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Fusicatenibacter	Fusicatenibacter saccharivorans	0	0	0	0	0	0	0	0	0	0	0.0375409090701363	0.0447968465551242	0.0231048609033324	0.00667302243088902	0.00525825470448105	0.0107665506975616	0.0251521716147733	0.0498156918830929	0.0414842248007124	0.00357805914261641	0.0411389778784836	0.0448998247477715	0.010271193886826	0.00392969230207072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00848438974168367	0.0999020793439316	0.0694676034611712	0.0473661067774163	0.0385425631193077	0.00393346911665991	0.0381145445149389	0.0115214050959388	0.00884207853455991	0.101763193455737	0.00325083165053879	0.000727825407742781	0.0011046876750028	0.000302431366989779	0.00599306134371083	0.000574682051614925	0.00325858201081567	0.000420711935274903	0.00172171275789154	0.00136770662924808	0.00772792806710177	0.000588042505061072	0.00235045941720443	0.00278173543863169	0.0028271461712761	0.000685234666448078	0.0053918193387967	0.00396119759176515	0.00232637244609259
1158459	Bacteria	NA	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kosakonia	Kosakonia sacchari	0.00177226425343421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1159017	Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Idiomarina	Idiomarina indica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000690421850330558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1160721	Bacteria	NA	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus bicirculans	0	0	0	0	0	0	0	0	0	0	0.026652407131982	0.00293798944949016	0.00253425216441039	0.00587601855745019	0.000356232351133517	0.00212155801948931	0.0781524257358	0.000433482626904719	0.0262127383640992	0.000755184040234615	0.00509703451673602	0.00351564464466896	0.107754590233551	0.0084639795739121	0	0	0	0	0	0	0	0	0	0	0	0	0.000732014231042255	0	0	0.00955220851915402	0.00293447966101373	0.00514215838471429	0.0415942467060254	0.000667423517321937	0.000321081560456384	0.000900356248472364	0	0.116061268325596	0.0137541315620002	0.000844985627604278	0	0	0	0.000280941469323885	0	0.000630261993885744	0	0	0.00629847263126215	0.00418395016448515	0	0	0.00220728225041649	0.000435202489358239	0.00100766686221133	0	0	0.00381442040714918
